epoch,train_loss,train_acc,float_eval_acc,float_trainmode_acc,discrete_acc,BATCH_SIZE,GATE_OPTIMIZER,NETWORK_LR,GUMBEL_TAU,GROUP_SUM_TAU,NETWORK_LAYERS,GATES,EPOCHS
epoch,train_loss,train_acc,float_eval_acc,float_trainmode_acc,discrete_acc,BATCH_SIZE,GATE_OPTIMIZER,NETWORK_LR,GUMBEL_TAU,GROUP_SUM_TAU,NETWORK_LAYERS,GATES,EPOCHS,CONNECTIONS
4,2.3016068729400634,0.11176666666666667,0.1135,0.1135,0.1135,128,softmax,0.01,0.25,30,8,1000,20,learned
epoch,train_loss,train_acc,float_eval_acc,float_trainmode_acc,discrete_acc,BATCH_SIZE,GATE_OPTIMIZER,NETWORK_LR,GUMBEL_TAU,GROUP_SUM_TAU,NETWORK_LAYERS,GATES,EPOCHS,CONNECTIONS
5,2.3015639375050863,0.11236666666666667,0.1135,0.1135,0.1135,128,softmax,0.01,0.25,30,8,1000,20,learned
epoch,train_loss,train_acc,float_eval_acc,float_trainmode_acc,discrete_acc,BATCH_SIZE,GATE_OPTIMIZER,NETWORK_LR,GUMBEL_TAU,GROUP_SUM_TAU,NETWORK_LAYERS,GATES,EPOCHS,CONNECTIONS
6,2.3015464084625243,0.11236666666666667,0.1135,0.1135,0.1135,128,softmax,0.01,0.25,30,8,1000,20,learned
1,1.8539868698120117,0.6560833333333334,0.7404,0.7404,0.7404,128,sparsemax,0.01,0.25,30,8,1000,20,random
2,1.7444138542175294,0.7306666666666667,0.7418,0.742,0.7418,128,sparsemax,0.01,0.25,30,8,1000,20,random
3,1.7434865649541218,0.7315666666666667,0.7429,0.7433,0.7429,128,sparsemax,0.01,0.25,30,8,1000,20,random
4,1.7433655692418417,0.73185,0.7406,0.7395,0.7406,128,sparsemax,0.01,0.25,30,8,1000,20,random
5,1.7433635922749837,0.73205,0.7412,0.7399,0.7412,128,sparsemax,0.01,0.25,30,8,1000,20,random
6,1.7433199815750122,0.7319333333333333,0.7396,0.7409,0.7396,128,sparsemax,0.01,0.25,30,8,1000,20,random
7,1.7432995600382486,0.7333833333333334,0.7352,0.7407,0.7352,128,sparsemax,0.01,0.25,30,8,1000,20,random
8,1.7432797770182291,0.7330666666666666,0.7321,0.7399,0.7321,128,sparsemax,0.01,0.25,30,8,1000,20,random
9,1.7432911957422892,0.7331,0.732,0.7391,0.732,128,sparsemax,0.01,0.25,30,8,1000,20,random
10,1.7432833307902018,0.7319333333333333,0.7352,0.7397,0.7352,128,sparsemax,0.01,0.25,30,8,1000,20,random
11,1.7432728851954142,0.7319833333333333,0.732,0.7395,0.732,128,sparsemax,0.01,0.25,30,8,1000,20,random
12,1.743279719543457,0.73055,0.7392,0.7388,0.7392,128,sparsemax,0.01,0.25,30,8,1000,20,random
13,1.7432621408462525,0.7305166666666667,0.7379,0.7391,0.7379,128,sparsemax,0.01,0.25,30,8,1000,20,random
14,1.7432658991495769,0.7318666666666667,0.7415,0.7401,0.7415,128,sparsemax,0.01,0.25,30,8,1000,20,random
15,1.7432459923426311,0.73205,0.7415,0.7402,0.7415,128,sparsemax,0.01,0.25,30,8,1000,20,random
16,1.7432545911788941,0.7323833333333334,0.7408,0.7396,0.7408,128,sparsemax,0.01,0.25,30,8,1000,20,random
17,1.7432586804707846,0.7318833333333333,0.7415,0.7405,0.7415,128,sparsemax,0.01,0.25,30,8,1000,20,random
18,1.7432463665644329,0.7327833333333333,0.7405,0.7396,0.7405,128,sparsemax,0.01,0.25,30,8,1000,20,random
19,1.7432538548151653,0.73195,0.7401,0.7395,0.7401,128,sparsemax,0.01,0.25,30,8,1000,20,random
epoch,train_loss,train_acc,float_eval_acc,float_trainmode_acc,discrete_acc,BATCH_SIZE,GATE_OPTIMIZER,NETWORK_LR,GUMBEL_TAU,GROUP_SUM_TAU,NETWORK_LAYERS,GATES,EPOCHS,CONNECTIONS
